OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
22273,COLLIER,TOWNSHIP,Collier Township,Char-West,Chartiers Valley,14,15216,AA,8943.53320312,13.97426986,905,003115,4,Southwest Regional,West,West,2007,{AA624D33-E8DF-4CEF-93F8-8194697FACC1},89692.9237689197,380825331.146104
24280,HAMPTON,TOWNSHIP,Hampton Township,North Hills,Hampton Township,14,32328,NH,10367.59960937,16.19937515,914,003245,2,NEWCOM,North,North,1986,{EEF460BA-3707-44AB-A94C-563BC0DA8247},87000.1574977716,451725265.363141
25480,PITCAIRN,BOROUGH,Pitcairn Borough,Turtle Creek Valley,Gateway,18,60712,ES,309.70388793,0.48391234,847,003430,8,East Regional,East,East,1982,{FE367532-0A4B-48AC-BEB3-3131BB396E97},30421.9019465047,14086072.7279308
26689,INDIANA,TOWNSHIP,Indiana Township,North Hills,Fox Chapel Area,18,36808,NH,11256.24023437,17.58787536,917,003275,3,NEWCOM,North,North,1986,{41ADB597-00F4-43B8-9CC5-1282E518EF25},128231.747224049,-489826883.45854
29481,O'HARA,TOWNSHIP,O Hara Township,North Hills,Fox Chapel Area,18,56384,NH,2247.91699218,3.51237034,931,003405,3,NEWCOM,North,North,1960,{41770961-A728-41E6-82B9-8EE24EDED590},129907.739616786,205329366.809892
29482,ASPINWALL,BOROUGH,Aspinwall Borough,Allegheny Valley North,Fox Chapel Area,18,3320,NH,245.54315185,0.38366124,801,003010,3,NEWCOM,North,North,1954,{0FD56362-2325-440F-B763-4155993A0FEB},16694.8510861764,10803581.4928539
30282,WEST DEER,TOWNSHIP,West Deer Township,North Hills,Deer Lakes,4,82800,NH,18471.13476562,28.8611412,952,003595,2,NEWCOM,East,Alle-Kiski Valley,1988,{3E651835-375A-40DF-B0C2-59F3B75D9174},114100.391343574,806700938.139439
31086,BELLEVUE,BOROUGH,Bellevue Borough,Quaker Valley,Northgate,14,5312,NH,706.68798828,1.1042,803,003030,1,Northwest Regional,North,Northwest,1955,{9B0A557A-F0DE-42D3-A041-DA5263183956},25854.9471929697,31335659.4698235
31497,BETHEL PARK,MUNICIPALI,Bethel Park Municipality,South Hills Area,Bethel Park,20,6064,SH,7491.74658203,11.70585441,876,003045,5,South Hills Regional,South,South,1962,{0F876147-366A-4A1D-A786-8AA8312BD071},75062.7947336292,326240031.484614
31503,TRAFFORD,BOROUGH,Trafford Borough, ,Penn-Trafford,18,77272,MV,93.27004241,0.14573444,857,003565,8,East Regional,East,East,1999,{98716D9E-576B-42FE-99F0-EA6440CF0D4F},25792.5134923464,-7818516.62314499
